mysql> select left(i,4),nat_id,incomeclass.x as incomeBracket,sum(expense.x),sum(q),count(*) from expense,incomeclass where f=fs_id  group by nat_id,incomeclass.x,left(i,4);
+-----------+--------+---------------+----------------+--------+----------+
| left(i,4) | nat_id | incomeBracket | sum(expense.x) | sum(q) | count(*) |
| 1050      |      1 |             4 |      10625.500 |    228 |      217 |
| 1111      |      1 |             4 |      62684.480 |   7733 |     6213 |
| 1112      |      1 |             4 |      15567.170 |   2541 |     2224 |
| 1120      |      1 |             4 |      39538.000 |    111 |       92 |
| 1211      |      1 |             4 |      33194.000 |   3421 |     3211 |
| 1212      |      1 |             4 |       5662.980 |    183 |      152 |
| 1213      |      1 |             4 |     112108.839 |  35629 |    15520 |
| 1231      |      1 |             4 |      27463.455 |   1246 |      978 |
| 1232      |      1 |             4 |      23435.515 |   1194 |     1074 |
| 1240      |      1 |             4 |         25.000 |      1 |        1 |
| 1253      |      1 |             4 |         70.000 |      2 |        2 |
| 1254      |      1 |             4 |       2954.000 |     39 |       39 |
| 1262      |      1 |             4 |       2039.750 |     54 |       53 |
| 1270      |      1 |             4 |     282756.120 |   3317 |     1755 |
| 1310      |      1 |             4 |       5826.850 |    231 |      207 |
| 1320      |      1 |             4 |     228347.640 |   2425 |     2365 |
| 0111      |      1 |             5 |      72051.855 |  41100 |    14204 |
| 0112      |      1 |             5 |     128061.609 |  12784 |     6744 |
| 0113      |      1 |             5 |      72304.490 |   5285 |     2536 |
| 0114      |      1 |             5 |      47357.641 |  29355 |    12225 |
| 0115      |      1 |             5 |      14817.015 |   3517 |     2317 |
| 0116      |      1 |             5 |      33143.810 |  14232 |     9383 |
| 0117      |      1 |             5 |      36467.591 |  29013 |    19380 |
| 0118      |      1 |             5 |      21711.930 |   8939 |     3768 |
| 0119      |      1 |             5 |      25263.938 |  17085 |     7797 |
| 0121      |      1 |             5 |      20050.325 |   9739 |     2991 |
| 0122      |      1 |             5 |      35264.513 |  14970 |     5001 |
| 0220      |      1 |             5 |       2860.510 |   1344 |     1040 |
| 0311      |      1 |             5 |      44325.030 |   1331 |      601 |
| 0312      |      1 |             5 |     442830.438 |  20388 |    12512 |
| 0313      |      1 |             5 |      13429.940 |   1352 |     1001 |
| 0314      |      1 |             5 |      65751.125 |   7726 |     4484 |
| 0321      |      1 |             5 |      66371.300 |   3983 |     3328 |
| 0322      |      1 |             5 |        251.780 |     95 |       70 |
| 0411      |      1 |             5 |      76945.000 |    150 |      148 |
| 0421      |      1 |             5 |    2172490.000 |   1641 |     1641 |
| 0431      |      1 |             5 |      52247.760 |    781 |      612 |
| 0432      |      1 |             5 |      84636.950 |   1348 |     1261 |
| 0441      |      1 |             5 |      31292.500 |   1792 |     1772 |
| 0442      |      1 |             5 |       2026.500 |    998 |      989 |
| 0443      |      1 |             5 |        530.500 |     45 |       42 |
| 0451      |      1 |             5 |      66254.700 |   1769 |     1760 |
| 0452      |      1 |             5 |       4654.460 |   2557 |     1805 |
| 0453      |      1 |             5 |        787.905 |    431 |       87 |
| 0454      |      1 |             5 |       3126.575 |   1105 |      968 |
| 0511      |      1 |             5 |     142135.510 |   2808 |     1950 |
| 0512      |      1 |             5 |      33302.130 |    771 |      585 |
