mysql> select fid1,fid2,mem1,mem2,count(*) from mdetail group by fid1,fid2,mem1,mem2;
+------+------+------+------+----------+
| fid1 | fid2 | mem1 | mem2 | count(*) |
|   73 |   73 |    5 |   11 |        3 |
|   73 |   73 |    6 |    1 |        3 |
|   73 |   73 |    6 |    2 |        3 |
|   73 |   73 |    6 |    3 |        3 |
|   73 |   73 |    6 |    4 |        3 |
|   73 |   73 |    6 |    5 |        3 |
|   73 |   73 |    6 |    6 |        3 |
|   73 |   73 |    6 |    7 |        3 |
|   73 |   73 |    6 |    8 |        3 |
|   73 |   73 |    6 |    9 |        3 |
|   73 |   73 |    6 |   10 |        3 |
|   73 |   73 |    6 |   11 |        3 |
|   73 |   73 |    8 |    1 |        3 |
|   73 |   73 |    8 |    2 |        3 |
|   73 |   73 |    8 |    3 |        3 |
|   73 |   73 |    8 |    4 |        3 |
|   73 |   73 |    8 |    5 |        3 |
|   73 |   73 |    8 |    6 |        3 |
|   73 |   73 |    8 |    7 |        3 |
|   73 |   73 |    8 |    8 |        3 |
|   73 |   73 |    8 |    9 |        3 |
|   73 |   73 |    8 |   10 |        3 |
|   73 |   73 |    8 |   11 |        3 |
|   73 |   73 |    9 |    1 |        3 |
|   73 |   73 |    9 |    2 |        3 |
|   73 |   73 |    9 |    3 |        3 |
|   73 |   73 |    9 |    4 |        3 |
|   73 |   73 |    9 |    5 |        3 |
|   73 |   73 |    9 |    6 |        3 |
|   73 |   73 |    9 |    7 |        3 |
|   73 |   73 |    9 |    8 |        3 |
|   73 |   73 |    9 |    9 |        3 |
|   73 |   73 |    9 |   10 |        3 |
|   73 |   73 |    9 |   11 |        3 |
|   73 |   73 |   10 |    1 |        3 |
|   73 |   73 |   10 |    2 |        3 |
|   73 |   73 |   10 |    3 |        3 |
|   73 |   73 |   10 |    4 |        3 |
|   73 |   73 |   10 |    5 |        3 |
|   73 |   73 |   10 |    6 |        3 |
|   73 |   73 |   10 |    7 |        3 |
|   73 |   73 |   10 |    8 |        3 |
|   73 |   73 |   10 |    9 |        3 |
|   73 |   73 |   10 |   10 |        3 |
|   73 |   73 |   10 |   11 |        3 |
|   73 |   73 |   11 |    1 |        3 |
