| FS_ID | NAT_ID | membersCount | SUM(INCOME1) | SUM(INCOME2) | SUM(INCOME3) | SUM(INCOME4) | SUM(INCOME5) | SUM(INCOME6) | SUM(INCOME7) | SUM(INCOME8) | INCOMES | CLASS_INCOMES | CLASS_INCOME1 | CLASS_INCOME2 | CLASS_INCOME3 | CLASS_INCOME4 | CLASS_INCOME5 | CLASS_INCOME6 | CLASS_INCOME7 | CLASS_INCOME8 |
+-------+--------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
|  1981 |      1 |            6 |         4284 |            0 |            0 |            0 |         1200 |            0 |            0 |            0 |    5484 |            28 |            22 |             0 |             0 |             0 |             6 |             0 |             0 |             0 |
|  2358 |      1 |           18 |            0 |          880 |            0 |         1800 |         2880 |            0 |            0 |            0 |    5560 |            28 |             0 |             5 |             0 |             9 |            15 |             0 |             0 |             0 |
|  2363 |      1 |            3 |         4278 |            0 |            0 |         1200 |            0 |            0 |            0 |            0 |    5478 |            28 |            22 |             0 |             0 |             6 |             0 |             0 |             0 |             0 |
|  2377 |      1 |            3 |            0 |          900 |            0 |            0 |         3690 |          960 |            0 |            0 |    5550 |            28 |             0 |             5 |             0 |             0 |            19 |             5 |             0 |             0 |
|  2504 |      1 |            9 |            0 |            0 |            0 |         1740 |         3870 |            0 |            0 |            0 |    5610 |            28 |             0 |             0 |             0 |             9 |            20 |             0 |             0 |             0 |
|  2508 |      1 |            3 |         4029 |            0 |            0 |         1530 |            0 |            0 |            0 |            0 |    5559 |            28 |            20 |             0 |             0 |             8 |             0 |             0 |             0 |             0 |
|  2518 |      1 |            6 |         5991 |            0 |            0 |            0 |            0 |            0 |            0 |         -350 |    5641 |            28 |            30 |             0 |             0 |             0 |             0 |             0 |             0 |            -2 |
|  3598 |      1 |            9 |            0 |            0 |            0 |         2250 |         3351 |            0 |            0 |            0 |    5601 |            28 |             0 |             0 |             0 |            11 |            17 |             0 |             0 |             0 |
|  3638 |      1 |            9 |         2715 |            0 |            0 |         1050 |         1830 |            0 |            0 |            0 |    5595 |            28 |            14 |             0 |             0 |             5 |             9 |             0 |             0 |             0 |
|  3675 |      1 |            9 |         3357 |            0 |            0 |         2250 |            0 |            0 |            0 |            0 |    5607 |            28 |            17 |             0 |             0 |            11 |             0 |             0 |             0 |             0 |
